index,prediction,ground_truth,pred_mu_min,pred_mu_max,pred_mu_mean,maniqa,musiq,clipiqa,dists
0,../../results/gmodiff_test/0.hdr,/mnt/e/Ecode/all/Test/001/HDRImg.hdr,0.035068195313215256,1.0009135007858276,0.3864735960960388,0.6197072267532349,63.29897689819336,0.3630337417125702,0.0048506855964660645
1,../../results/gmodiff_test/1.hdr,/mnt/e/Ecode/all/Test/002/HDRImg.hdr,0.04969159886240959,0.9976847171783447,0.3957068920135498,0.6349374055862427,64.92477416992188,0.3929349184036255,0.002070605754852295
2,../../results/gmodiff_test/2.hdr,/mnt/e/Ecode/all/Test/003/HDRImg.hdr,0.04113781079649925,1.0009135007858276,0.4009985327720642,0.5556387901306152,67.35283660888672,0.49224933981895447,0.008265435695648193
3,../../results/gmodiff_test/3.hdr,/mnt/e/Ecode/all/Test/004/HDRImg.hdr,0.025556907057762146,0.9573453664779663,0.35826051235198975,0.48566633462905884,65.34777069091797,0.39144864678382874,0.008942365646362305
4,../../results/gmodiff_test/4.hdr,/mnt/e/Ecode/all/Test/005/HDRImg.hdr,0.08639004826545715,1.0009135007858276,0.46346473693847656,0.6802473068237305,66.66727447509766,0.5854833126068115,0.0042231082916259766
5,../../results/gmodiff_test/5.hdr,/mnt/e/Ecode/all/Test/006/HDRImg.hdr,0.034025371074676514,1.0009135007858276,0.440609872341156,0.6615768074989319,66.83887481689453,0.46656665205955505,0.008571267127990723
6,../../results/gmodiff_test/6.hdr,/mnt/e/Ecode/all/Test/007/HDRImg.hdr,0.20496350526809692,1.0009135007858276,0.6970465183258057,0.5962938070297241,67.8967514038086,0.3482271730899811,0.010414481163024902
7,../../results/gmodiff_test/7.hdr,/mnt/e/Ecode/all/Test/008/HDRImg.hdr,0.15567228198051453,1.0009135007858276,0.6674871444702148,0.6053900122642517,65.17000579833984,0.34736090898513794,0.00833141803741455
8,../../results/gmodiff_test/8.hdr,/mnt/e/Ecode/all/Test/009/HDRImg.hdr,0.2080489844083786,1.0009135007858276,0.7432510852813721,0.6037312746047974,67.49568939208984,0.41660237312316895,0.01214909553527832
9,../../results/gmodiff_test/9.hdr,/mnt/e/Ecode/all/Test/010/HDRImg.hdr,0.008632171899080276,1.0009135007858276,0.5252360701560974,0.6173480749130249,59.75733184814453,0.3887394964694977,0.007062256336212158
